modality,best_loss,training_time_s,convergence_epoch,a,b,r,m,CM,a_error_%,b_error_%,r_error_%,m_error_%,CM_error_%,mean_error_%
Video+Audio,14560.153032823042,54.14148712158203,5,0.1628696173429489,0.1329375058412552,0.2451649010181427,27.79253578186035,0.12863416969776154,8.500214975871392,7.682287610239445,21.972587571215264,3.3948503789447644,14.851937230144227,11.280375553283019
Video Only,5866.286911704324,122.30714011192322,30,0.18905499577522278,0.20310218632221222,0.17064495384693146,39.64134979248047,0.10838150233030319,6.2106717838330265,41.04318494598072,15.102013011476892,47.47525964464461,3.2308014908007237,22.612386175347194
