architecture,best_loss,final_loss,training_time_s,convergence_epoch,a,b,r,m,CM
LTC,14560.153032823042,14561.232210332697,63.57929611206055,5,0.1728696173429489,0.1329375058412552,0.2051649010181427,27.79253578186035,0.11863416969776154
LSTM,14553.167638258501,14557.898996526545,25.07333493232727,14,0.16784781754016876,0.1737208366394043,0.2121495008468628,39.454498291015625,0.12303730845451355
GRU,14555.127805189653,14560.550116452303,22.36390709877014,10,0.20164690911769867,0.19467955827713013,0.1955900639295578,39.496002197265625,0.10761513561010361
TRANSFORMER,14559.965812336315,14561.207275043835,62.828750133514404,54,0.16875866055488586,0.19693036377429962,0.18802034854888916,39.2808952331543,0.09359825402498245

